Country,EdLevel,Experience,Language,Salary
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,C#;F#;HTML/CSS;JavaScript;SQL,151117.0
Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Bash/Shell (all shells);Java;SQL,67289.0
Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,C;Elixir;Go;HTML/CSS;Python;Rust;SQL;Zig,197225.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,245000.0
Serbia,Some college/university study without earning a degree,5.0,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,14850.0
Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,C#;JavaScript;Python;SQL,3.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Groovy;Java,75472.0
France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,JavaScript;Python;R;SQL;TypeScript;VBA,174022.0
Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,C;Python;Rust;SQL,210788.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,C++;Java;Python,150000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,115720.0
Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,HTML/CSS;JavaScript;PowerShell;SQL,20677.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,C++;PowerShell,72958.0
Uruguay,Some college/university study without earning a degree,11.0,HTML/CSS;JavaScript;Ruby;TypeScript,1480.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,F#;HTML/CSS,5000.0
United Arab Emirates,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Dart,13615.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Bash/Shell (all shells);PowerShell,116000.0
Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,C#;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,87011.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,90000.0
Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,36407.0
Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,C;C++;Python;Rust,139218.0
Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Assembly;Bash/Shell (all shells);C;C++;Python,25523.0
Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Ada;Bash/Shell (all shells);Python,13649.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,1.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Ada;Bash/Shell (all shells);C;C++,81685.0
Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,58007.0
Belgium,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",42.0,C;C++;Lua;Python;SQL,167061.0
United States of America,Some college/university study without earning a degree,40.0,Bash/Shell (all shells);Go;HTML/CSS;Perl;PHP;PowerShell;Python;SQL,195000.0
Bangladesh,Some college/university study without earning a degree,11.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,8509.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",41.0,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,145018.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,C#;SQL,155000.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,80254.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22.0,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,83531.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,109438.0
Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,C#;PowerShell;SQL,87561.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,HTML/CSS;JavaScript;Python;SQL,75000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,88492.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);C#;C++;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,131000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,C#;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Visual Basic (.Net),120000.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Bash/Shell (all shells);C;C++;Fortran;Python,81210.0
Belgium,Some college/university study without earning a degree,9.0,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,48726.0
Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,41765.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Bash/Shell (all shells);C++;COBOL;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Visual Basic (.Net),71499.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),45000.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,65663.0
Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16.0,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,113085.0
Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,94235.0
Spain,Some college/university study without earning a degree,7.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,440856.0
Slovakia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;Python;SQL,2900.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,C#;HTML/CSS;JavaScript;Python;TypeScript,295000.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Bash/Shell (all shells);Java;Kotlin;Python;SQL,113694.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Bash/Shell (all shells);C++;Go;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,80000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,C#;Go;PowerShell;Python;TypeScript,350000.0
Italy,Some college/university study without earning a degree,6.0,Dart;Java;JavaScript;SQL,39445.0
India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;JavaScript;TypeScript,20109.0
Hungary,"Associate degree (A.A., A.S., etc.)",10.0,Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript;VBA,43375.0
Republic of Moldova,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,Bash/Shell (all shells);C++;Dart;Java;JavaScript;Kotlin;PowerShell;Ruby;Swift;TypeScript,4873.0
United States of America,Some college/university study without earning a degree,3.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,87000.0
Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Bash/Shell (all shells);Go;Java;JavaScript;Python;SQL,66017.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,75410.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Bash/Shell (all shells);C;C++;Rust,27844.0
Germany,Some college/university study without earning a degree,10.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;Ruby;Rust,13922.0
United States of America,Some college/university study without earning a degree,15.0,Bash/Shell (all shells);Python;SQL,185000.0
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,C#;F#;PowerShell;Rust;SQL;Zig,83531.0
Switzerland,Some college/university study without earning a degree,9.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,114981.0
Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL,130992.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,C#;HTML/CSS;SQL;VBA;Visual Basic (.Net),150000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,200000.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,69609.0
Italy,Some college/university study without earning a degree,12.0,C#;C++;HTML/CSS;JavaScript;Python;SQL,31324.0
Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,91018.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;TypeScript,75410.0
Romania,Some college/university study without earning a degree,10.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,91899.0
Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,156000.0
Sri Lanka,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,C#;Erlang;Java;PowerShell;Python;SQL;TypeScript,19983.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,C#;HTML/CSS;Rust;TypeScript,165000.0
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35.0,C#;HTML/CSS;SQL;TypeScript,75410.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,104413.0
Portugal,Some college/university study without earning a degree,32.0,Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;F#;HTML/CSS;JavaScript;Lua;MicroPython;PowerShell;Python;Rust;TypeScript;Zig,44086.0
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,14.0,Bash/Shell (all shells);JavaScript;Lisp,120485.0
United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",1.0,Python;R,68071.0
Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,C#;Elixir;F#;Java;TypeScript,98842.0
Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",39.0,HTML/CSS;Java;SQL,46406.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,Bash/Shell (all shells);C;C++;Java;JavaScript;PowerShell;Python;TypeScript,116015.0
Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,HTML/CSS;JavaScript;SQL;TypeScript,148499.0
Croatia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,5801.0
Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,17402.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",53.0,Bash/Shell (all shells);Delphi;MATLAB;PHP;SQL;VBA,41765.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL,72958.0
Sweden,Primary/elementary school,26.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Perl;Python;SQL,11530.0
"Iran, Islamic Republic of...","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,MATLAB,6000.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,HTML/CSS;JavaScript;TypeScript,94846.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,C#;HTML/CSS;JavaScript;SQL,49011.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36.0,C#,58007.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Assembly;Bash/Shell (all shells);C++;HTML/CSS;JavaScript;MicroPython;OCaml;Python;Rust;SQL,8121.0
Canada,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20.0,C#,102142.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,Prolog;Python;SQL,74878.0
Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,3371.0
France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Bash/Shell (all shells);Go;HTML/CSS;Java;SQL,87011.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,129334.0
Argentina,Some college/university study without earning a degree,19.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Scala;SQL;TypeScript,108000.0
Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,63808.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,190000.0
China,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",17.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;SQL,8357.0
Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Go;JavaScript;Python;SQL;TypeScript,34804.0
United States of America,Some college/university study without earning a degree,25.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,155000.0
Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,38981.0
Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,HTML/CSS;JavaScript;TypeScript,41765.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,116015.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;HTML/CSS;JavaScript;Python;Visual Basic (.Net),136141.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,152.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL,22456.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;F#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Prolog;Python;SQL;VBA,70000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,C++;Python,140000.0
Argentina,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18.0,HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,78000.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,HTML/CSS;JavaScript;Python;TypeScript,1208.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,C;COBOL;Java;Python;SQL,63808.0
Switzerland,Some college/university study without earning a degree,33.0,C;Go;Groovy;Java;JavaScript;Kotlin;Python;Scala;Swift;TypeScript,210788.0
Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,PHP;SQL;TypeScript,248250.0
Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,HTML/CSS;JavaScript;PHP;SQL,18562.0
Argentina,Some college/university study without earning a degree,8.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,39923.0
Netherlands,Some college/university study without earning a degree,30.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,220428.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,200000.0
Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python,202416.0
Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,98612.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,C;C#;Go;HTML/CSS;JavaScript;Lua;PHP;TypeScript;Zig,69609.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,Bash/Shell (all shells);C;Fortran;HTML/CSS;JavaScript;Lisp;Python,40842.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Python;R;SQL,260000.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,97682.0
Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Bash/Shell (all shells);Go;HTML/CSS;Python;Ruby;SQL,140000.0
Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,Bash/Shell (all shells);PowerShell;Python;SQL,98494.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;JavaScript;TypeScript,135000.0
Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,C++;HTML/CSS;JavaScript;Python;Rust,61996.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;Swift;TypeScript,110000.0
Israel,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python,58828.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,C++;HTML/CSS;Java;Python;SQL;TypeScript,81000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;Scala;SQL,91215.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,Bash/Shell (all shells);Swift,60000.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Assembly;Bash/Shell (all shells);C;C++;Groovy;Java;Lua;Perl;Python;Rust,104413.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Dart;Kotlin;Swift;TypeScript,107894.0
Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33.0,C#;Delphi;Java;Kotlin;PowerShell;Python;R;SQL,92812.0
United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24.0,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,80000.0
Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Assembly;C#;Delphi;Erlang;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;SQL;Swift;TypeScript;VBA;Zig;Mojo,150819.0
United States of America,Some college/university study without earning a degree,10.0,Python;SQL;VBA,60000.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,C#,51274.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,140000.0
Poland,Some college/university study without earning a degree,14.0,C;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,60518.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50.0,C;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,140000.0
